iter	Logloss
140	0.1945875352
141	0.1943176046
142	0.1937305707
143	0.1931417623
144	0.192753523
145	0.1925074093
146	0.1922403316
147	0.1918833579
148	0.1917397455
149	0.1913768681
150	0.1911733298
151	0.1907743708
152	0.1902818699
153	0.1900894258
154	0.1895329644
155	0.1890730606
156	0.1886270078
157	0.1884509832
158	0.1873972743
159	0.18637448
160	0.1860853222
161	0.1857708306
162	0.1855211292
163	0.1846524675
164	0.1842058823
165	0.1839288355
166	0.1834815674
167	0.1832313531
168	0.182317885
169	0.182008091
170	0.1817867395
171	0.1814195609
172	0.1810813261
173	0.1802398589
174	0.1798992551
175	0.1796689051
176	0.1795528663
177	0.179394219
178	0.1788407493
179	0.1784285116
180	0.1782606315
181	0.177835846
182	0.1774843369
183	0.1769028863
184	0.1765869911
185	0.175893591
186	0.1751795826
187	0.1749383007
188	0.1748614536
189	0.1744961836
190	0.1742731904
191	0.1733029031
192	0.1730884944
193	0.1729106362
194	0.1727129984
195	0.1725435657
196	0.1724309727
197	0.1720782338
198	0.1717100317
199	0.1715729589
200	0.1713067944
201	0.1712159084
202	0.17095917
203	0.1707460319
204	0.1705374377
205	0.1704013029
206	0.1700373475
207	0.1697829748
208	0.1696294606
209	0.169442415
210	0.1691480223
211	0.1689535382
212	0.1687017705
213	0.1684416451
214	0.1682282365
215	0.1680771678
216	0.1674038628
217	0.166904757
218	0.1667971295
219	0.1663895997
220	0.1662464469
221	0.1659933503
222	0.1659249189
223	0.1651378677
224	0.1647949133
225	0.1645611953
226	0.1643559193
227	0.164205545
228	0.1639061565
229	0.1638096575
230	0.1633552786
231	0.1632118976
232	0.1628203443
233	0.1625495698
234	0.162294885
235	0.1621814927
236	0.1617787107
237	0.1610511825
238	0.1608281696
239	0.160448304
240	0.1602798955
241	0.1600728803
242	0.1595441743
243	0.1592674455
244	0.1589742666
245	0.158596954
246	0.1583996125
247	0.1580053963
248	0.1573134678
249	0.1568155757
250	0.1566443879
251	0.1563471516
252	0.1561194991
253	0.1560529819
254	0.1558556387
255	0.1556673723
256	0.155530258
257	0.1554637271
258	0.1551970687
259	0.1550058713
260	0.1544645606
261	0.1540678491
262	0.1540001541
263	0.1538792761
264	0.1533130039
265	0.1532144593
266	0.1528989616
267	0.1526957297
268	0.15220986
269	0.1520620732
270	0.1517565277
271	0.1516508205
272	0.1515586381
273	0.151403604
274	0.1508095667
275	0.1503610968
276	0.1500283404
277	0.1497461681
278	0.1495777075
279	0.1493091051
280	0.1491812705
281	0.1489172339
282	0.1487339142
283	0.1485145728
284	0.1483445469
285	0.1477014201
286	0.1473830692
287	0.1470088552
288	0.1460279649
289	0.1457316033
290	0.1454364601
291	0.1451715432
292	0.1449361522
293	0.1447117799
294	0.1444961206
295	0.1441752286
296	0.1436472617
297	0.1434009613
298	0.1430955174
299	0.1426090228
300	0.1421379812
301	0.1417089515
302	0.141556801
303	0.1414957982
304	0.1413247008
305	0.1411407536
306	0.1409244999
307	0.1407414753
308	0.1406847519
309	0.1404909949
310	0.1402606041
311	0.1400125566
312	0.1397812907
313	0.1394540158
314	0.1392422385
315	0.1391575356
316	0.138966052
317	0.1388896634
318	0.1388369241
319	0.1387516336
320	0.1386801234
321	0.1386185897
322	0.1385757303
323	0.138268168
324	0.1380990635
325	0.1380384905
326	0.1379683874
327	0.1379039228
328	0.1378026952
329	0.1376206959
330	0.1375096622
331	0.1374576285
332	0.1372357976
333	0.1371276012
334	0.1368976434
335	0.1368147314
336	0.1365921612
337	0.1365102991
338	0.1364092175
339	0.1363258263
340	0.1362583104
341	0.1360430065
342	0.1360022307
343	0.1357710313
344	0.1356051744
345	0.1355396295
346	0.1350529626
347	0.135001455
348	0.1348745053
349	0.134694509
350	0.1346121687
351	0.1345015621
352	0.1342999592
353	0.1340365932
354	0.1339074545
355	0.1338033823
356	0.1335653728
357	0.1334513499
358	0.1333929367
359	0.1332720403
360	0.1331700807
361	0.1330236803
362	0.1329548057
363	0.1327660602
364	0.1324381557
365	0.1322037519
366	0.1320504001
367	0.1318787397
368	0.1315748418
369	0.1313518717
370	0.1310878151
371	0.1308982506
372	0.1308336678
373	0.1306602488
374	0.130538704
375	0.1304594311
376	0.1304211415
377	0.1302122694
378	0.130125258
379	0.1301034793
380	0.1299380456
381	0.1295080028
382	0.1293763227
383	0.1292375322
384	0.1289589262
385	0.128903205
386	0.128688398
387	0.1286370663
388	0.1285595031
389	0.1284606813
390	0.128398265
391	0.1281863241
392	0.1280683968
393	0.1276693349
394	0.127272732
395	0.127110592
396	0.1270579056
397	0.1269244738
398	0.1267479328
399	0.1266864661
